Date,Price,Open,High,Low,Vol.,Change %
03/01/2026,0.801,0.805,0.813,0.756,47.80M,-1.72%
02/01/2026,0.815,0.908,0.908,0.806,102.87M,-10.73%
01/01/2026,0.913,0.89,0.965,0.89,72.73M,2.82%
12/01/2025,0.888,0.915,0.929,0.869,41.79M,-2.74%
11/01/2025,0.913,0.971,0.986,0.882,63.46M,-5.78%
10/01/2025,0.969,1.04,1.084,0.936,97.30M,-7.27%
09/01/2025,1.045,0.926,1.047,0.897,88.27M,14.46%
08/01/2025,0.913,0.883,0.942,0.857,43.32M,4.22%
07/01/2025,0.876,0.843,0.919,0.817,79.63M,3.91%
06/01/2025,0.843,0.823,0.877,0.802,49.12M,1.44%
05/01/2025,0.831,0.834,0.89,0.816,54.01M,-0.48%
04/01/2025,0.835,0.913,0.926,0.718,101.74M,-9.44%
03/01/2025,0.922,0.943,1.029,0.9,100.21M,-1.39%
02/01/2025,0.935,0.801,1.012,0.783,139.94M,13.33%
01/01/2025,0.825,0.762,0.831,0.713,76.06M,8.41%
12/01/2024,0.761,0.732,0.816,0.729,57.95M,4.10%
11/01/2024,0.731,0.747,0.799,0.703,68.15M,-2.40%
10/01/2024,0.749,0.735,0.889,0.712,210.54M,-1.71%
09/01/2024,0.762,0.58,0.776,0.556,119.86M,30.93%
08/01/2024,0.582,0.589,0.589,0.545,63.63M,-1.02%
07/01/2024,0.588,0.602,0.633,0.571,83.93M,-2.65%
06/01/2024,0.604,0.63,0.649,0.602,53.14M,-2.89%
05/01/2024,0.622,0.62,0.693,0.618,86.04M,-0.16%
04/01/2024,0.623,0.587,0.64,0.548,80.78M,7.60%
03/01/2024,0.579,0.569,0.608,0.55,78.67M,1.76%
02/01/2024,0.569,0.504,0.589,0.499,85.65M,13.57%
01/01/2024,0.501,0.619,0.624,0.498,113.38M,-18.80%
12/01/2023,0.617,0.643,0.646,0.582,95.40M,-4.19%
11/01/2023,0.644,0.637,0.7,0.63,64.50M,0.63%
10/01/2023,0.64,0.661,0.681,0.609,62.08M,-3.18%
09/01/2023,0.661,0.709,0.72,0.641,66.33M,-5.16%
08/01/2023,0.697,0.76,0.769,0.66,79.49M,-7.44%
07/01/2023,0.753,0.66,0.77,0.645,108.67M,14.96%
06/01/2023,0.655,0.612,0.705,0.606,97.79M,7.03%
05/01/2023,0.612,0.649,0.661,0.6,111.41M,-4.82%
04/01/2023,0.643,0.704,0.708,0.623,91.36M,-8.53%
03/01/2023,0.703,0.658,0.712,0.628,167.10M,7.16%
02/01/2023,0.656,0.742,0.772,0.654,171.61M,-11.47%
01/01/2023,0.741,0.693,0.78,0.673,168.47M,6.93%
12/01/2022,0.693,0.667,0.736,0.643,210.70M,7.78%
11/01/2022,0.643,0.503,0.66,0.503,204.98M,29.12%
10/01/2022,0.498,0.605,0.654,0.48,131.90M,-18.76%
09/01/2022,0.613,0.736,0.743,0.604,68.88M,-16.71%
08/01/2022,0.736,0.738,0.756,0.696,61.86M,-0.54%
07/01/2022,0.74,0.841,0.861,0.734,79.27M,-11.90%
06/01/2022,0.84,0.76,0.876,0.734,94.34M,10.53%
05/01/2022,0.76,0.752,0.767,0.645,53.25M,0.00%
04/01/2022,0.76,0.747,0.817,0.643,92.96M,-0.13%
03/01/2022,0.761,0.87,0.873,0.584,132.53M,-11.72%
02/01/2022,0.862,0.925,0.958,0.846,32.01M,-6.10%
01/01/2022,0.918,0.958,0.996,0.885,39.31M,-3.77%
12/01/2021,0.954,1.027,1.046,0.914,51.23M,-7.20%
11/01/2021,1.028,1.07,1.132,1.014,26.47M,-3.93%
10/01/2021,1.07,1.03,1.14,0.993,31.05M,3.88%
09/01/2021,1.03,1.118,1.172,1.021,48.71M,-7.04%
08/01/2021,1.108,1.16,1.172,0.987,69.33M,-3.99%
07/01/2021,1.154,1.369,1.381,1.05,87.56M,-15.70%
06/01/2021,1.369,1.347,1.398,1.296,19.85M,2.32%
05/01/2021,1.338,1.386,1.387,1.248,39.02M,-3.46%
04/01/2021,1.386,1.404,1.47,1.351,31.19M,0.14%
