Date,Price,Open,High,Low,Change %
26-Mar,65.71,66.3,66.3,64.92,-0.87%
26-Feb,66.29,68.23,68.23,64.78,-2.07%
26-Jan,67.69,66.15,69.35,66.15,2.61%
25-Dec,65.97,64.34,66.11,64.18,2.79%
25-Nov,64.18,66.76,66.76,61.93,-3.42%
25-Oct,66.45,63.88,66.75,63.82,4.37%
25-Sep,63.67,60.03,63.97,58.96,6.17%
25-Aug,59.97,57.8,60.47,57.8,0.69%
25-Jul,59.56,58.13,59.85,57.99,2.71%
25-Jun,57.99,54.42,58.14,54.42,6.52%
25-May,54.44,51.71,55.78,50.59,7.61%
25-Apr,50.59,51.88,51.96,44.46,-0.90%
25-Mar,51.05,55.05,55.05,51.05,-6.31%
25-Feb,54.49,54.78,57.16,54.49,-2.42%
25-Jan,55.84,53.77,55.84,52.67,3.79%
24-Dec,53.8,54.41,55.67,53.76,-0.15%
24-Nov,53.88,52.67,54.43,52.43,3.12%
24-Oct,52.25,52.32,53.71,52.06,-0.85%
24-Sep,52.7,51.52,52.7,49.15,2.57%
24-Aug,51.38,50.59,51.78,47.42,-0.16%
24-Jul,51.46,50.94,53.29,50.47,0.67%
24-Jun,51.12,48.94,51.12,48.63,5.99%
24-May,48.23,46.54,49.95,46.54,2.40%
24-Apr,47.1,48.29,48.65,45.8,-2.50%
24-Mar,48.31,47.29,48.41,46.79,3.18%
24-Feb,46.82,44.85,46.99,44.85,4.09%
24-Jan,44.98,44.23,45.71,43.39,0.69%
23-Dec,44.67,42.4,44.87,42.31,6.53%
23-Nov,41.93,37.41,42.04,37.41,12.62%
23-Oct,37.23,38.65,39.32,36.72,-4.02%
23-Sep,38.79,40.29,40.38,38.24,-3.05%
23-Aug,40.01,40.79,40.79,38.25,-2.08%
23-Jul,40.86,39.31,40.86,38.6,4.96%
23-Jun,38.93,37.83,39.43,37.83,4.31%
23-May,37.32,35.86,37.69,35.19,4.19%
23-Apr,35.82,36.59,36.59,35.25,-2.50%
23-Mar,36.74,34.86,36.74,34.13,5.61%
23-Feb,34.79,35.26,36.89,34.51,-0.80%
23-Jan,35.07,31.24,35.4,31.08,13.68%
22-Dec,30.85,33.37,33.37,30.47,-4.49%
22-Nov,32.3,31.26,33.71,29.71,3.69%
22-Oct,31.15,30.15,31.73,29.37,3.42%
22-Sep,30.12,32.14,33.87,29.96,-8.84%
22-Aug,33.04,34.07,35.72,32.92,-2.19%
22-Jul,33.78,30.95,33.78,30.61,7.61%
22-Jun,31.39,33.42,34.37,29.96,-6.88%
22-May,33.71,33.5,34.08,31.29,-1.29%
22-Apr,34.15,36.87,37.57,33.15,-8.57%
22-Mar,37.35,35.35,37.83,33.41,3.55%
22-Feb,36.07,37.66,37.93,34.69,-3.12%
22-Jan,37.23,39.4,39.49,35.45,-5.29%
21-Dec,39.31,37.8,39.61,37.35,2.53%
21-Nov,38.34,38.71,39.71,37.88,-0.18%
21-Oct,38.41,37.15,38.72,36.69,3.28%
21-Sep,37.19,38.65,38.65,37.11,-3.43%
21-Aug,38.51,37.67,38.51,36.96,2.91%
21-Jul,37.42,37.22,37.78,36.4,0.08%
21-Jun,37.39,36.4,37.43,36.2,2.78%
21-May,36.38,36.2,36.51,34.57,0.03%
21-Apr,36.37,35.76,36.99,35.76,3.18%
