Date,Open,High,Low,Close,Adj Close,Volume
1-Mar-26,21.53,0,0,20.86,20.86,-
1-Feb-26,22.07,0,0,21.78,21.78,-
1-Jan-26,23.75,0,0,21.72,21.72,-
1-Dec-25,23.8,0,0,23.62,23.62,-
1-Nov-25,24.3,0,0,24,24,-
1-Oct-25,23.38,0,0,24.05,24.05,-
1-Sep-25,23.59,0,0,23.23,23.23,-
1-Aug-25,23.71,0,0,23.33,23.33,-
1-Jul-25,24.83,0,0,23.94,23.94,-
1-Jun-25,24.47,0,0,24.74,24.74,-
1-May-25,24.5,0,0,24.37,24.37,-
1-Apr-25,23.8,0,0,24.37,24.37,-
1-Mar-25,22.63,0,0,23.96,23.96,-
1-Feb-25,24.63,0,0,22.79,22.79,-
1-Jan-25,26.58,0,0,24.57,24.57,-
1-Dec-24,26.22,0,0,26.04,26.04,-
1-Nov-24,25.45,0,0,26.08,26.08,-
1-Oct-24,25.75,0,0,25.21,25.21,-
1-Sep-24,25.7,0,0,25.81,25.81,-
1-Aug-24,25.88,0,0,25.8,25.8,-
1-Jul-24,25.76,0,0,26.12,26.12,-
1-Jun-24,24.45,0,0,25.61,25.61,-
1-May-24,24.1,0,0,23.82,23.82,-
1-Apr-24,23.77,0,0,24.11,24.11,-
1-Mar-24,23.69,0,0,23.74,23.74,-
1-Feb-24,22.85,0,0,23.35,23.35,-
1-Jan-24,22.24,0,0,22.8,22.8,-
1-Dec-23,21.03,0,0,21.92,21.92,-
1-Nov-23,20.04,0,0,20.93,20.93,-
1-Oct-23,20.56,0,0,20.02,20.02,-
1-Sep-23,20.3,0,0,20.53,20.53,-
1-Aug-23,19.93,0,0,20.08,20.08,-
1-Jul-23,19.55,0,0,19.87,19.87,-
1-Jun-23,18.54,0,0,19.52,19.52,-
1-May-23,17.9,0,0,18.46,18.46,-
1-Apr-23,17.12,0,0,17.89,17.89,-
1-Mar-23,17.21,0,0,17.18,17.18,-
1-Feb-23,16.99,0,0,17.15,17.15,-
1-Jan-23,17.72,0,0,17.24,17.24,-
1-Dec-22,18.82,0,0,17.54,17.54,-
1-Nov-22,18.71,0,0,18.9,18.9,-
1-Oct-22,18.33,0,0,18.66,18.66,-
1-Sep-22,19.02,0,0,18.39,18.39,-
1-Aug-22,18.42,0,0,18.8,18.8,-
1-Jul-22,17.03,0,0,18.36,18.36,-
1-Jun-22,17.75,0,0,16.82,16.82,-
1-May-22,18.78,0,0,17.73,17.73,-
1-Apr-22,19.21,0,0,18.63,18.63,-
1-Mar-22,17.18,0,0,18.85,18.85,-
